method,rank,scenario_id,template_id,selection_reason,selected_build_id,session_id,mode,ego_collision,inconclusive,valid_collision,regression,selection_reward,execution_id,episode_cost,contributing_pattern_ids,new_pattern_id,target_observations_before_query,history_source_count,ucb_count_after,ucb_reward_after,task_id,repeat
FBRT-Memory,1,4179901:S01:anchor_like:0,fbrt_cutin,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,False,False,False,,0,new-a2d667a58101927eed21bb85,1,[],,0,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,2,4179901:S06:space_filling:8,fbrt_moving_lead,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,False,False,False,,0,new-a428b5abb74af55721c442f4,1,[],,1,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,3,4179901:S05:space_filling:13,fbrt_lane_change_rear,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,False,False,False,,0,new-20068005c46ba080fdd902b7,1,[],,2,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,4,4179901:S05:space_filling:7,fbrt_lane_change_rear,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,False,False,False,,0,new-33bee4dca6e80f141cf5ea70,1,[],,3,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,5,4179901:S06:space_filling:15,fbrt_moving_lead,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,False,False,False,,0,new-8f7b93ed926ef30db017eadc,1,[],,4,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,6,4179901:S02:space_filling:6,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,True,False,True,,1,new-65bc9d3abaa8ddffb87fb986,1,[],pat-611f9d75f8bd0f1b,5,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,7,4179901:S02:anchor_like:1,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,True,False,True,,1,new-18b0ff59e7429b93528a4881,1,"[""pat-611f9d75f8bd0f1b""]",pat-4ac32fa0eff09d65,6,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,8,4179901:S02:space_filling:10,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,True,False,True,,1,new-8dacaeec18c7c804d0707808,1,"[""pat-4ac32fa0eff09d65""]",pat-6fb61b9c95c46fec,7,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,9,4179901:S02:space_filling:13,fbrt_cutout_static,posterior_mean_failure_probability,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,True,False,True,,1,new-7de60b619fd684828953eadc,1,[],pat-8caa19c887f818b3,8,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
FBRT-Memory,10,4179901:S08:space_filling:14,fbrt_cutin_then_brake,global_art_maximin,ppo_ref_v2,cross_agent_FBRT-Memory_ppo_ref_after_mobil:FBRT-Memory:0,cross_agent,False,False,False,,0,new-d4eb373a5695e5443eb38755,1,[],,9,1,,,cross_agent_FBRT-Memory_ppo_ref_after_mobil,0
